Transaction Date,Amount,Province,City,Description,Category
2023-02-06,-33.59,ON,WWW.AMAZON.CA,AMZN Mktp CA*JJ21O5OX3,
2023-02-04,-8.94,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-02-03,-17.35,BC,VANCOUVER,THE CORNER KITCHEN,
2023-02-03,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-02-03,-13.9,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-02-03,-1076.0,BC,VANCOUVER,VANCOUVER DENTAL GROUP,
2023-02-03,2299.94,OU,MENT - THANK Y,PAY,
2023-02-02,-17.92,BC,VANCOUVER,DONAIR TOWN,
2023-02-02,-5.59,BC,amazon.ca/pri,Amazon.ca Prime Member,Tech/Entertainment
2023-02-01,-13.49,BC,VANCOUVER,A&W STORE# 0751,
2023-02-01,-18.51,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-01-31,-17.35,BC,VANCOUVER,THE CORNER KITCHEN,
2023-01-31,-13.74,BC,VANCOUVER,GROCERY CHECKOUT,
2023-01-29,-3.18,PN,OUKIYOUTO    J,PLEASURE MUSIC TAB STO T,
2023-01-30,-9.86,BC,VANCOUVER,SUBWAY,
2023-01-28,-19.99,BC,VANCOUVER,CHURCH'S CHICKEN,
2023-01-28,-12.55,BC,VANCOUVER,CHURCH'S CHICKEN,
2023-01-27,-26.47,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2023-01-27,-91.63,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-01-26,-12.06,BC,VANCOUVER,GROCERY CHECKOUT,
2023-01-26,745.35,OU,MENT - THANK Y,PAY,
2023-01-25,-24.15,ON,BRAMPTON,INDIGO ONLINE,
2023-01-24,-11.2,BC,VANCOUVER,MOLLIE'S STATIONERY- R,
2023-01-23,-11.5,BC,VANCOUVER,MY HOME CUISINE,
2023-01-24,-693.77,AB,CALGARY,SQ *CONTEMPORARY OFFIC,
2023-01-22,-52.5,BC,VANCOUVER,PANDORA'S BOX REHEARSA,
2023-01-22,-35.02,BC,RICHMOND,FREEBIRD TABLE AND BAR,
2023-01-20,-12.96,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2023-01-20,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-01-19,-9.86,BC,VANCOUVER,SUBWAY,
2023-01-17,-41.99,BC,VANCOUVER,BODY ENERGY CLUB (KITS,
2023-01-14,-65.19,BC,VANCOUVER,LONDON DRUGS   74,Household
2023-01-14,-77.37,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-01-12,-20.47,BC,VANCOUVER,RAMEN DANBO KITSILANO,
2023-01-12,-28.67,BC,VANCOUVER,CRAFT BEER MARKET,
2023-01-11,-14.05,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-01-10,-14.44,BC,VANCOUVER,UPPER CASE,
2023-01-11,-137.58,BC,VANCOUVER,LURE SALON,
2023-01-10,-17.84,ON,BRAMPTON,INDIGO ONLINE,
2023-01-09,-20.82,BC,VANCOUVER,LONDON DRUGS   74,Household
2023-01-09,-44.28,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-01-09,-11.8,BC,VANCOUVER,VANCOUVER DENTAL GROUP,
2023-01-08,-28.87,BC,VANCOUVER,SUIKA,
2023-01-06,-132.0,BC,VANCOUVER,VANCOUVER DENTAL GROUP,
2023-01-08,-116.15,BC,VANCOUVER,UBC BOOKSTORE,
2023-01-07,-5.05,BC,BURNABY,DAISO METROTOWN,
2023-01-06,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-01-06,-49.55,BC,VANCOUVER,BURRARD LIQUOR STORE,
2023-01-05,-246.38,BC,BURNABY,#392 SPORT CHEK,
2023-01-06,-100.7,ON,Toronto,Uniqlo Canada,Clothing/Haircuts
2023-01-05,-14.89,BC,BURNABY,NYF #3236,
2023-01-03,-17.91,ON,WWW.AMAZON.CA,AMZN Mktp CA*OB75M4D03,
2023-01-02,-5.59,BC,amazon.ca/pri,Amazon.ca Prime Member,Tech/Entertainment
2023-01-01,-90.29,BC,VANCOUVER,BODY ENERGY CLUB (KITS,
2022-12-31,-82.8,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-12-30,-30.0,ON,MISSISSAUGA,COINAMATIC,
2022-12-30,-43.55,BC,VANCOUVER,BURRARD LIQUOR STORE,
2022-12-29,-21.73,BC,VANCOUVER,C&T FRIED CHICKEN,
2022-12-28,-3.58,BC,NORTH VANCOUV,HENRY'S GROCERY,
2022-12-28,1681.48,OU,MENT - THANK Y,PAY,
2022-12-23,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-12-23,-25.19,BC,VANCOUVER,INDIGO 789,
2022-12-22,-48.68,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-12-22,-45.15,ON,BRAMPTON,INDIGO ONLINE,
2022-12-22,-54.38,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-12-21,-35.42,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-12-20,-13.08,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2022-12-19,-44.93,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-12-18,-16.28,BC,Vancouver,SQ *TACOMIO GOURMET TA,
2022-12-15,-36.66,ON,TORONTO,UBER* EATS,Eating Out
2022-12-13,-12.35,BC,VANCOUVER,WENDY'S RESTAURANTS,Eating Out
2022-12-12,-25.59,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
